|Champs|R1|R2|R3|R4|R5|R6|R7|R8|R9|R10|R11|R12|R13|R14|R15|R16|R17|R18|R19|R20|R21|R22|R23|R24|R25|R26|R27|R28|R29|R30|Moyenne|Variance|Intervalle95%
0|nbCasCovidConnuTotal|235.0|336.0|247.0|273.0|280.0|342.0|325.0|366.0|343.0|335.0|286.0|391.0|357.0|389.0|359.0|288.0|269.0|300.0|297.0|403.0|373.0|360.0|337.0|325.0|300.0|276.0|272.0|331.0|246.0|334.0|319.1666666666667|2083.5919540229884|(302.12202847098837, 336.211304862345)
1|tauxDeMortCasConnu|2.553191489361702|1.1904761904761905|1.214574898785425|2.197802197802198|1.7857142857142856|0.8771929824561403|0.9230769230769231|1.366120218579235|1.4577259475218658|0.0|0.6993006993006993|1.7902813299232736|0.8403361344537815|1.5424164524421593|0.2785515320334262|1.0416666666666665|0.7434944237918215|1.3333333333333335|1.6835016835016834|1.488833746898263|1.3404825737265416|1.9444444444444444|1.1869436201780417|1.8461538461538463|0.33333333333333337|0.7246376811594203|0.3676470588235294|1.2084592145015105|2.4390243902439024|1.4970059880239521|1.2631907762235866|0.39011872738825815|(1.0299632260243625, 1.4964183264228097)
2|tauxDeMort0-15ans|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|(nan, nan)
3|tauxDeMort15-25ans|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|(nan, nan)
4|tauxDeMort25-35ans|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|(nan, nan)
5|tauxDeMort35-45ans|0.0|0.0|0.0|0.0|3.125|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|3.3333333333333335|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.2152777777777778|0.671944843550447|(-0.09081160376451836, 0.5213671593200739)
6|tauxDeMort45-55ans|4.166666666666666|0.0|0.0|0.0|0.0|0.0|2.2222222222222223|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|2.127659574468085|0.0|2.2222222222222223|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.35795902285263986|0.9627775767091331|(-0.00843167124681271, 0.7243497169520925)
7|tauxDeMort55-65ans|0.0|0.0|0.0|10.0|0.0|2.4390243902439024|0.0|4.444444444444445|2.3255813953488373|0.0|0.0|0.0|0.0|1.8518518518518516|0.0|0.0|0.0|0.0|0.0|3.3333333333333335|0.0|2.380952380952381|0.0|2.2222222222222223|0.0|2.7027027027027026|0.0|0.0|2.7027027027027026|2.0|1.2134271807934125|4.506722950541904|(0.42072166248294374, 2.0061326991038815)
8|tauxDeMort65-75ans|0.0|5.714285714285714|4.0|2.7027027027027026|0.0|0.0|2.941176470588235|0.0|2.380952380952381|0.0|0.0|9.30232558139535|2.4390243902439024|2.857142857142857|0.0|3.4482758620689653|0.0|6.896551724137931|3.225806451612903|3.0303030303030303|5.0|0.0|0.0|8.108108108108109|2.857142857142857|0.0|0.0|5.263157894736842|3.7037037037037033|0.0|2.4623553243041827|7.185903481998081|(1.4613828363403125, 3.463327812268053)
9|tauxDeMort75+ans|13.157894736842104|7.142857142857142|8.0|7.5|12.5|5.405405405405405|3.571428571428571|7.894736842105263|7.894736842105263|0.0|7.6923076923076925|7.142857142857142|5.88235294117647|13.793103448275861|2.941176470588235|8.0|3.571428571428571|5.88235294117647|16.0|7.317073170731707|6.25|17.142857142857142|8.823529411764707|5.714285714285714|0.0|3.4482758620689653|3.0303030303030303|5.0|17.391304347826086|11.11111111111111|7.640045951316755|20.558455594959998|(5.946969012802071, 9.33312288983144)
10|nbRandomGenere|2203725019.0|2203732395.0|2203730491.0|2203728495.0|2203732142.0|2203735302.0|2203735109.0|2203732146.0|2203733695.0|2203738340.0|2203732550.0|2203731181.0|2203734866.0|2203734102.0|2203737754.0|2203728394.0|2203731087.0|2203730517.0|2203730260.0|2203733693.0|2203732966.0|2203730742.0|2203733201.0|2203732810.0|2203734531.0|2203730605.0|2203734429.0|2203731896.0|2203726788.0|2203733719.0|2203732307.5|8342622.189655173|(2203731228.9687347, 2203733386.0312653)
